Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
signal strength is poor,"is, compared, is, according, noted, drops","poor, average",signal,router,NEGATIVE,"11g and through 5 layers of walls and a floor, the  signal strength is poor  compared to the rangemax which is average according to the strength bars noted on the xbox, and sometimes drops altogether.  "
started losing the wireless signal,"performed, started, losing, were, moved","wireless, portable, few",signal,router,NEGATIVE,"The unit performed well for almost one year, the I  started losing the wireless signal  when the portable computers were moved only a few ft away.  "
no wireless signal,"did, work, generated",wireless,signal,router,NEGATIVE,This unit did not even work   no wireless signal  generated!  
loses its signal,"has, gotten, have, installed, loses, ten","worse, latest",signal,router,NEGATIVE,The problem has gotten worse  I have installed the latest firmware for this router  still  loses its signal  every five to ten minutes.  
slowed the signal,"slowed, allowed, function",managable,signal,router,NEGATIVE,This  slowed the signal  to a managable rate and allowed the modem to function.  
no longer broadcast a wireless signal,broadcast,wireless,signal,router,NEGATIVE,It  no longer broadcast a wireless signal .  
signal dropped off,dropped,"same, same, weaksignal",signal,router,NEGATIVE,"Well, the  signal dropped off  at the same spot and to the same level of weaksignal as the 30 router.  "
signal range dropped,dropped,4GHz,signal,router,NEGATIVE,4GHz  signal range dropped  down to about 10 ft.  
signal is weak,"use, move, is",weak,signal,router,NEGATIVE,You can even use an ethernet cable between them to move the AP into an area where the   signal is weak  .  
loose signal,"does, pick",loose,signal,router,NEGATIVE,"GPS   loose signal   every 3 minutes, and it doesnt pick up signal ever again.  "
signal dropped,"vanished, walked, dropped, was, moved","clear, poor, nonexistent",signal,router,NEGATIVE,"The excitement quickly vanished when I walked 10 feet away from the access point and the  signal dropped  to 50(clear line of sight) about 25 feet away, through 2 walls, the signal and connection quality was poor or nonexistent if I moved my hand or arm in front of the card.  "
dropped signal,"continued, be, dropped",convoluted,signal,router,NEGATIVE,"After a convoluted setup, this unit continued to be hassle with constantly  dropped signal  .  "
weak signal,"do, connect",weak,signal,router,NEGATIVE,"Just about the instant I do that my laptop will connect directly to the router, albeit with a   weak signal  .  "
signal loss,"have, caused",port,signal,router,NEGATIVE,"21 have caused problems with port forwarding,   signal loss  , and freeze ups.  "
no signal,went,good,signal,router,NEGATIVE,"In rooms across the house from the router the signal went from ""  no signal  "" to ""very good.  "
signal quality was not great,was,great,signal,router,NEGATIVE,Also the   signal quality was not great  .  
signal would drop,"drop, broadcast",wireless,signal,router,NEGATIVE,"After that, the wireless  signal would drop  out and not even broadcast the ssid.  "
signal dropped off,"<p>, moved, show, was, going, allow, stop, using, had, been, using, dropped","other, dialup",signal,router,NEGATIVE,"<p>As I moved the computer to the other room to show my wife how this was going to allow her to stop using the dialup service that she had been using, the   signal dropped off   significantly.  "
lost signal,"decided, return, lost, based",poor,signal,router,NEGATIVE,I decided to return the device not simply because of the  lost signal  problem but also based on Garmins poor customer service.  
useless wireless signal,"am, s, took, finish, set","happy, near, useless, wireless",signal,router,NEGATIVE,"I am not happy about its near  useless wireless signal  ,it took me two days to finish set up right.  "
signal strength problem,"lead, was",due,signal,router,NEGATIVE,The   signal strength problem   that lead to my purchase was due to a bug in my WRT54gs firmware (2.  
low signal,"s, is",low,signal,router,NEGATIVE,Thats ok when your option is no or very  low signal  strength.  
low signal,"listed, found, was, was, mentioned","identical, normal, low, high",signal,router,NEGATIVE,"The upstairs pc, however, listed two identical SSIDs (later I found out this was normal, but it was not mentioned in Linksyss documentation or on their website), one with  low signal  strength and one with high.  "
dropped signal,"watched, using, had, dropped",old,signal,router,NEGATIVE,We watched one Netflick using the old Belkin and we had about 6 interruptions for  dropped signal  .  
signal dropping,"was, have, set, complained, dropping",slow,signal,router,NEGATIVE,"This router was a gift; I have set it up with the factory firmware and no one complained about the WiFi a  signal dropping  , or slow connection speed.  "
dropped internet signal,"did, work, dropped, set, written, speak",complicated,signal,router,NEGATIVE,This router never did work right mostly because of  dropped internet signal  and complicated set up with instructions written in geek speak.  
losing the signal,"did, kept, losing, had, turn","most, less, populated, crucial",signal,router,NEGATIVE,"For the most part, it did, but, especially in less populated areas, it kept  losing the signal  , sometimes at crucial moments when I had to turn.  "
dropping the signal,"Worked, noticed, kept, dropping",few,signal,router,NEGATIVE,Worked for a few months then I noticed it kept  dropping the signal  and internet use.  
weak signal,boost,weak,signal,router,NEGATIVE,"The Extender DOES NOT boost the wifi signal, just ""repeats"" an already  weak signal  into a far corner of my house.  "
caused my signal to disappear,"were, given, had, caused, disappear",magical,signal,router,NEGATIVE,"No details were given, just insinuations that somehow magical hackers had   caused my signal to disappear  .  "
signal strength was worse,was,"11b, worse",signal,router,NEGATIVE,"11b PC cards, and the   signal strength was worse   than the BEFW11S4!  "
no signal,"set, being","sure, enough, other, little, less",signal,router,NEGATIVE,But sure enough I set the router up and on the other side of one wall  little to   no signal   being less than 5 feet away.  
dropping the signal,"switched, died, become, dropping, requiring, repeated","Worked, wireless, unreliable",signal,router,NEGATIVE,"Worked fine with a Linksys G wireless router, but when I switched to a DLink router (the Linksys died from a power surge), the Expander become unreliable, frequently   dropping the signal   & requiring repeated setups.  "
low signal,"requires, initiate, complains, connected, requires, are","small, least, daily, low",signal,router,NEGATIVE,"Big and small problems  requires a cable to initiate setup, complains when internet not connected, requires (for me) at least daily reboot,  low signal  strength unless nodes are close, etc.  "
weak signal,"purchased, had",weak,signal,router,NEGATIVE,I purchased the PCI card for the computer and it had a very  weak signal  .  
losing the signal,"set, keep, losing","real, easy, apparent",signal,router,NEGATIVE,It set up real easy but I keep  losing the signal  for no apparent reason.  
signal is totoally gone,"is, gone","troublesome, wireless",signal,router,NEGATIVE,"Now, after 8 month of troublesome experience, the wireless   signal is totoally gone  .  "
weak signal,"sign, had",weak,signal,router,NEGATIVE,"Without the booster, I could sign on but had a  weak signal  .  "
poor signal,had,"first, poor",signal,router,NEGATIVE,The first unit had very  poor signal  strength and quality.  
too weak of a signal,"tried, decided, buy","due, weak",signal,router,NEGATIVE,"I could not stream HDTV due to   too weak of a signal   no matter what I tried, so I decided to buy this router.  "
signal was actually worse,"went, connected, was, see, was","new, disappointed, worse",signal,router,NEGATIVE,I went and connected the xbox to the new router and was very disappointed to see that   signal was actually worse  .  
stops broadcasting a wireless signal,"have, unplug, get, reconnect, stops, broadcasting","daily, wireless",signal,router,NEGATIVE,"<p>I have to unplug the power to the router frequently to get it to reconnect to the internet (daily lately), and sometimes it just   stops broadcasting a wireless signal  .  "
signal was poor,was,poor,signal,router,NEGATIVE,"However, the  signal was poor  .  "
signal is unreliable,is,unreliable,signal,router,NEGATIVE,The  signal is unreliable  .  
Loses signal,"Loses, are, makes, is, needed","big, tall, useless",signal,router,NEGATIVE," Loses signal  in tunnels, big cities, and when tall trees are around, which makes it basically useless when it is needed most.  "
stopped broadcasting the wireless signal,"bought, set, was, working, stopped, broadcasting, restarted, came","great, whole, wireless",signal,router,NEGATIVE,"I recently bought this product and set it up and it was working great for 24 hours when the whole unit just   stopped broadcasting the wireless signal   completely, so i restarted it and the signal came back.  "
drops the wireless signal,"drops, lock","wireless, wireless",signal,router,NEGATIVE,"It either  drops the wireless signal  , or lock up network connection on wireless side.  "
dropping wireless signal,"lasted, started, dropping",wireless,signal,router,NEGATIVE,This router lasted about a year then it started  dropping wireless signal  .  
drops the signal,"needs, drops, expect",rebooting,signal,router,NEGATIVE,"It needs rebooting way more often than it should, and  drops the signal  too often, but you probably cannot expect top of the line quality at this price.  "
strength is appalling,"is, build","appalling, plastic",signal,router,NEGATIVE,<p>   strength is appalling   unlike the ma314 the build quality (plastic vs.  
dropped signal,"is, trying, dropped, dropped, do, worry, s, m, running, s, get","substandard, ssid, poor, <p>, old, ready, only, decent",signal,router,NEGATIVE,"metal in the ma314) is substandard  trying to mask the ssid results in extremely poor connection and  dropped signal  stays dropped<p>stick to the old style and dont worry about ""g""  its not ready  im running ""b"" now and its the only way to get a half decent signal.  "
lost signal,"happened, passing, lost, was, find, stopped, working, ended, pulling, try, find, came, continued, providing, driving, happended, were, having",able,signal,router,NEGATIVE,"It also happened already once that after passing a tunnel it  lost signal  and then it wasnt able to find any satellite until it finally stopped working, we ended up pulling over to try to find the address with my cells GPS, about 1 hr later it came back to life and continued providing driving directions like nothing happended, of course we were already at the restaurant having dinner.  "
Loss of GPS signal,"keep, posting, get, happened",more,signal,router,NEGATIVE,"I will keep posting as I get more time with this unit May 25, 2011   Loss of GPS signal   happened again today.  "
signal strength is terrible,is,terrible,signal,router,NEGATIVE,"Second, the  signal strength is terrible  .  "
signal dropping,"gave, had, dropping, were","same, wireless, other, wireless",signal,router,NEGATIVE,Later a friend gave me a Linksys Compact WirelessG router that had the very same problem with its wireless  signal dropping  whenever there were other wireless signal in the area.  
weakest signal,"has, have, seen","lifeless, wireless, weakest",signal,router,NEGATIVE,"In addition to the sync problems and lifeless customer service technicians, the two antennae wireless router has some of the   weakest signal   strength I have seen.  "
signal would disappear,"disliked, disappear, make, work","big, hard",signal,router,NEGATIVE,I disliked Dlink for 2 big reasons: (1) The wifi  signal would disappear  and only a hard onoff would make it work.  
signal strength is much lower,"is, being, used","lower, same",signal,router,NEGATIVE,The   signal strength is much lower   on all devices being used in the same places throughout the house.  
signal is dropped,"is, dropped, meaning, streaming, is, watch","Worse, intermittant",signal,router,NEGATIVE,"Worse yet, the  signal is dropped  entirely at intermittant times meaning streaming video is a nightmare to watch.  "
signal drops,drops,quick,signal,router,NEGATIVE,"After that,  signal drops  quick.  "
signal strength are terrible,"do, know, got, are","bad, wireless, terrible",signal,router,NEGATIVE,"I dont know whether I just got a bad one, but the wireless range and   signal strength are terrible  .  "
signal disappears,"disappears, find","wireless, wireless",signal,router,NEGATIVE,My wireless   signal disappears   once in a while (even cannot find the router in wireless connection list).  
signal started deteriorating,"was, started, deteriorating",fine,signal,router,NEGATIVE,All was fine until a couple months ago when the routers  signal started deteriorating  .  
signal is so weak,"is, have, be, connect","weak, same",signal,router,NEGATIVE,"Now the  signal is so weak  , I have to be in the same room to connect.  "
droppedsignal problem,"have, been, figure, described, do, want, be, overwhelmed, steer","techsavvy, able, droppedsignal, other, clear",signal,router,NEGATIVE,"Perhaps the more techsavvy people among us have been able to figure out what ails the   droppedsignal problem   of this product (as described in other Amazon reviews), but for those who do not want to be overwhelmed with technojargon, steer clear of this product.  "
signal is weak,"is, is, receiving",weak,signal,router,NEGATIVE,"The   signal is weak  , despite the fact that the router is only 10 vertically and 20 laterally from the receiving computer.  "
signal drop,"bought, provide, caused","wireless, concrete, significant",signal,router,NEGATIVE,"I bought this product to provide wireless coverage at around my apartment, as the concrete walls caused a significant  signal drop  .  "
searching for a signal,"leave, s, houses, ask, wants, continue, searching",big,signal,router,NEGATIVE,"By the time I leave the garage for a signal (its a big garage that houses over 300 vehicles), the GPS will ask me if it wants to continue  searching for a signal  .  "
signal became spotty,became,"less, spotty",signal,router,NEGATIVE,"After less than two years, the  signal became spotty  .  "
lost signal,"go, is, lost, had",full,signal,router,NEGATIVE,"With my Belkin pren I could go to the end of my driveway, which is over 300 before I   lost signal  , in my house I always had full bars.  "
poor signal,"is, being, received","major, poor, other, wireless",signal,router,NEGATIVE,And the most major problem is the   poor signal  being received by my other pc on a wireless linksys card about 250 feet away from the router.  
signal were never detected,"was, were, detected, tho, was","Wired, intermitent, wireless",signal,router,NEGATIVE,Wired access was intermitent and wireless   signal were never detected   even tho the laptop was only 8 feet away from the router.  
no wireless signal,"reentered, was, detected",wireless,signal,router,NEGATIVE,"I reentered all the settings from the day before, but   no wireless signal   was detected.  "
low signal,"fail, connect, show, recognize, moved, worked","low, wireless",signal,router,NEGATIVE,"The 614 would sometimes fail to connect devicescomputersprinters, sometimes would show a   low signal   at the device side, and would seldom recognize my HP wireless printer, so I moved everything back to my Netgear 624 which worked calmly and well.  "
signal coverage issues,"think, be, withstanding",acceptable,signal,router,NEGATIVE,"In conclusion, I think the Netgear will be acceptable,   signal coverage issues   not withstanding.  "
signal dropping,"sort, be, be, signal, dropping",OK,signal,router,POSITIVE,"Things would sort of be OK for about 5 or 10 minutes, and then it would be back to  signal dropping  .  "
dropping signal,"was, dropping, was","unencrypted, least, speedy",signal,router,NEGATIVE,"I was unencrypted and  dropping signal  every hour or so, but I was at least speedy.  "
loses signal,"does, connect, loses, found, use, plugging","better, out, useless",signal,router,NEGATIVE,"It doesnt connect well with the 2WIRE, always  loses signal  , and I found its better to use the internet with out plugging in that useless junk.  "
signal loses,"realize, loses, traveling, is",excessive,signal,router,NEGATIVE,I realize the 5G  signal loses  strength quickly traveling through walls but that is excessive.  
drop the wireless signal,drop,wireless,signal,router,NEGATIVE,"In that time, the router would randomly  drop the wireless signal  , ALOT.  "
signal decreased in strength,"decreased, dropped, consoles, disconnected, update, destroyed",firmware,signal,router,NEGATIVE,"Bought it in November, and slowly the   signal decreased in strength  , speeds dropped, gaming consoles and laptops disconnected, and finally, a firmware update destroyed it.  "
signal strength is not predictable,"do, work, is",predictable,signal,router,POSITIVE,"The indicator lights dont always work, and the   signal strength is not predictable   at all.  "
signal was too low,"provided, was, was, improved","main, low",signal,router,NEGATIVE,"It provided service to a section of my house where my main WiFi   signal was too low  , the signal was in fact significantly improved.  "
signal degraded,left,degraded,signal,router,NEGATIVE,"As soon as I left the room, the  signal degraded  .  "
losing my signal,"walk, losing",last,signal,router,NEGATIVE,In the last month I can barely walk 15 feet away from my router without   losing my signal  .  
poor signal,"see, went, see, start, blink, connects","poor, excellent, blue",signal,router,NEGATIVE,"I cant see the extender in my network, but I definitely went from a  poor signal  to an excellent signal, and I can see the blue lights start to blink on the extender when my Vista latop connects wirelessly.  "
"""poor"" signal","cease, work, kick","such, poor, few",signal,router,NEGATIVE,"After that such time, the signal would constantly cease to work, but then to kick back up to the   ""poor"" signal   strength every few minutes.  "
drops the signal,"took, set, drops, have, reboot",long,signal,router,NEGATIVE,"It took a long time to set up and program properly with the base unit, it frequently  drops the signal  , and we have to reboot it.  "
signal drop,"work, see, come","wireless, full, few",signal,router,NEGATIVE,"As I work, I can see the wireless  signal drop  from full strength to nothing for a few seconds, then come back.  "
signal gone,"ve, turned, find, gone, come, be, fixed, plugging, visiting, ing, changing","other, unwilling, wireless",signal,router,NEGATIVE,"At other times, Ive turned on a computer to find the   signal gone   and unwilling to come back  this can be fixed by plugging into an ethernet port, visiting the configuration page and simply ""OK""ing the wireless settings, without changing anything.  "
signal is weak,"is, is","current, slow, wireless, weak, weak, weak",signal,router,NEGATIVE,The current one is very slow and wireless  signal is weak  weak and weak.  
signal degraded,left,degraded,signal,router,NEGATIVE,"As soon as I left the room, the  signal degraded  .  "
drops the signal,"bought, drops",farthest,signal,router,NEGATIVE,I bought this Expander because the computer in the farthest part of the house  drops the signal  from time to time.  
no signal,"get, get","good, excellent",signal,router,POSITIVE,"I almost always get a ""good"" to ""excellent"" signal, but sometimes I get   no signal   at all with this computer.  "
empty signal,"get, see, find",empty,signal,router,NEGATIVE,"Even though I couldnt get an Internet connection through the Expander, my computer could see the Expander and find the   empty signal  .  "
stopped giving off a signal,"stopped, giving, do, know, was, seems, be, working",own,signal,router,NEGATIVE,"At the start it   stopped giving off a signal   on its own, dont know what the cause of it was but it seems to be working fine now.  "
looses its signal,"s, looses",slower,signal,router,NEGATIVE,"What a joke, its actualy slower,  looses its signal  very frequently.  "
dropped the signal,"was, set, dropped",several,signal,router,NEGATIVE,Then when it was set up it  dropped the signal  several times a day.  
poor signal,"are, getting, disconnect",poor,signal,router,NEGATIVE,"If you are getting   poor signal   strength, first disconnect the batteries from your 2.  "
signal is weak,is,weak,signal,router,NEGATIVE,The  signal is weak  .  
signal drops,are,"Multiple, random, daily",signal,router,NEGATIVE,Multiple random  signal drops  are a daily occurrence.  
signal is weak,"is, be, depend","wireless, weak, ideal",signal,router,NEGATIVE,"Of course the wireless  signal is weak  in this situation and naturally an expander should be the ideal solution, but why force it to depend on cords?  "
signal is horrible,"got, was, set, is","easy, horrible",signal,router,NEGATIVE,I got the Netgear and It was easy to set up but the  signal is horrible  .  
very poor signal,"am, getting","second, poor",signal,router,NEGATIVE,I am on the second floor and getting   very poor signal  .  
signal strength suddenly dropped,"came, dropped, am, achieve","Excellent, able, high",signal,router,POSITIVE,"Problem came yesterday, the   signal strength suddenly dropped   from Excellent to Low, I am still able to achieve very high speed traffic at 270mbps within 1 feet from the router.  "
dropped signal,"declared, changed, was, changed, dropped",sudden,signal,router,NEGATIVE,"I declared no firmware changed, nothing was changed, but  dropped signal  strength in a sudden.  "
losing signal,"used, kept, losing, blamed, lost","clear, sunny, high",signal,router,NEGATIVE,"When I first used it and kept  losing signal  I blamed it on fog but then on a clear sunny day with no high buildings or trees in the vicinity, I lost signal 9 times in 7 miles.  "
signal drops,drops,great,signal,router,POSITIVE,The  signal drops  off with great regularity.  
dropping signal,"works, starts, dropping, losing, requiring, powercycle","first, several",signal,router,POSITIVE,"The router works fine for the first several weeks until it starts  dropping signal  , losing connection, requiring one to powercycle the unit every five or so minutes.  "
loose the signal,"is, loose, are, designed, work","cheaper, good, small, small",signal,router,NEGATIVE,"This product is cheaper but in my experience dont work with good signal, sometimes my laptops  loose the signal  in small space, maybe are designed to work in very small distance.  "
signal dissapear,"let, log, have, pwr, worked","due, wireless, wireless",signal,router,NEGATIVE,"Once in awhile probably due the heat, the wireless   signal dissapear  , or wouldnt let wireless comps log in and I have to pwr it down for 10 secs and pwr back on and it worked again.  "
signal strenght is weaker,"found, is, goes",weaker,signal,router,NEGATIVE,"Also, I found out that   signal strenght is weaker   as time goes by.  "
never hold a signal,"buying, recommended, spending, hold, needed, be","countless, few, few, reset",signal,router,NEGATIVE,"After buying two (2) of the WGR614s (recommended by Netgear)and spending countless hours on hold with Technical Support(India), this Router could   never hold a signal   and every few hours to every few days needed to be reset.  "
signal was so weak,"was, turn, get","weak, internet",signal,router,NEGATIVE,The  signal was so weak  that I could not turn on the encryption (could not get internet connection with encryption WEP.  
signal was so weak,"was, get",weak,signal,router,NEGATIVE,The  signal was so weak  it could barely get downstairs.  
signal drops,"drops, plunges, range","SAME, next",signal,router,NEGATIVE,"In our setup, the  signal drops  to 70 strength 10 feet away WITHIN THE SAME ROOM, and plunges to 50 if you range as far as the next room.  "
drop the signal,"seems, seems, drop",solid,signal,router,POSITIVE,") The signal within 30 seems pretty solid, although for some reason it seems to completely  drop the signal  to zero once or twice an hour.  "
had weak signal,"had, was","weak, intermittent, best",signal,router,NEGATIVE,In the spots where I  had weak signal  with the router the extender was intermittent at best.  
gets a poor signal,"are, gets, picks","connected, mixed, wireless, other, old, poor",signal,router,NEGATIVE,All are connected via mixed mode bgn wireless network with no problems other than the fact that the old toshiba laptop  gets a poor signal  because it only picks up the  802.  
stopped broadcasting a signal,"was, is, has, stopped, broadcasting","easy, great",signal,router,NEGATIVE,"It was easy to setup and the range is great, but as of yesterday it has completely  stopped broadcasting a signal .  "
had to reboot due to lost signal,"had, reboot, lost",due,signal,router,NEGATIVE,Constantly  had to reboot due to lost signal .  
no wireless signal,"stopped, working, wired",wireless,signal,router,NEGATIVE,"After about 10 months of use the router stopped working,  no wireless signal  only wired.  "
had a weak signal,"needed, had","weak, wireless, remote",signal,router,NEGATIVE,I needed a range expander because I  had a weak signal  from my wireless router in remote areas of my house.  
signal was poor,"connected, was, running, was, sitting","easy, poor",signal,router,NEGATIVE,"It connected easy and was up and running quickly, but the  signal was poor , even with my laptop sitting just 4 feet from the router.  "
signal drastically dropped,"dropped, disconnected, making","less, useless",signal,router,NEGATIVE,"Beyond 25 feet, like in a bedroom, the 5GHZ  signal drastically dropped  to less than 33 Mbps and often disconnected making that mode useless.  "
impact signal performance,"claims, do, know, does","internal, Electrical",signal,router,NEGATIVE,The manufacturer claims internal antennas do not  impact signal performance  but as an Electrical Engineer I know it does.  
weak signal connection,"was, returned","defective, poor, weak, buggy",signal,router,NEGATIVE,"This NETGEAR WNDR 3700 router was returned as defective for poor performance,  weak signal connection , and buggy software.  "
frequently signal loses,"signal, loses, routing, known, fixed","bad, new, frequent, port",signal,router,NEGATIVE,"  frequently signal loses , bad compatibility with new MacBooks, frequent failure on routing requests and bugs in user interface (well known port forwarding bug still not fixed).  "
signal strength is not one bit better,"have, connect, is","better, old",signal,router,NEGATIVE,"While I have no complaints about setup or the ability to connect, the  signal strength is not one bit better  than my old router.  "
frequently loses signal,"loses, making, navigate",impossible,signal,router,NEGATIVE,"In addition, the unit  frequently loses signal  in the midst of a trip, making it impossible to navigate reliably.  "
trouble getting a signal,"is, have, getting","boring, acceptable, older, twentyfive, thicker",signal,router,NEGATIVE,"First the boring stuff: the router is acceptable in terms of performance, though in an older house youll have  trouble getting a signal  twentyfive feet away because of the thicker walls.  "
does not always pick up a signal,"have, is, does, pick, starting, have, drive, kicks",other,signal,router,NEGATIVE,"The other problem I have with it is that it  does not always pick up a signal  near my starting point, instead, I sometimes have to drive about 7 miles before it kicks in.  "
received any signal,"got, plugged, received",new,signal,router,NEGATIVE,"When I got my brand new modem and router and plugged everything in, none of the house laptops  received any signal .  "
signal kept dropping,"kept, dropping","11g, wireless",signal,router,NEGATIVE,11g card the wireless  signal kept dropping  out every 2 to 3 minutes.  
no signal drops,"worked, drops",11g,signal,router,NEGATIVE,"11g PCMCIA network card, worked well with  no signal drops .  "
slow in finding Satellite signal,"bought, was, finding",slow,signal,router,NEGATIVE,I bought this item as a replacement for a Garmin 260W which was extremely  slow in finding Satellite signal .  
signal strength is much weaker,"is, dropping, running","surprisingmuch, weaker, old, super, frequent",signal,router,NEGATIVE,"The  signal strength is much weaker  than my old super G, with frequent dropping of the connections on all 3 HP notebook running on G, as well as my Palm TX.  "
Unable to validate GPS signal,"was, discovered, have, resulted, validate","particular, Unable",signal,router,NEGATIVE, Unable to validate GPS signal  since March 31.  
the wireless signal fluctuating,"was, see","ok, wireless",signal,router,NEGATIVE,The performance was ok but I would constantly see  the wireless signal fluctuating .  
keeps getting a weak signal,"does, work, claims, be, keeps, getting",weak,signal,router,NEGATIVE,The range expander still doesnt work as it claims to be as I  keeps getting a weak signal  like before.  
got a busy signal,"got, was, get","first, busy, able",signal,router,NEGATIVE,"At first I  got a busy signal  and then after three attempts later, I was able to get through.  "
signal was less than optimal,"did, hit, was, worked, tried","less, optimal, corporate",signal,router,NEGATIVE,"I did hit some areas in the house where the  signal was less than optimal , but nonetheless things worked well until  I tried to VPN in the corporate network.  "
signal suddenly died,"surfing, died","wireless, last",signal,router,NEGATIVE,"<p>However, after 6 months of happily surfing the internet wirelessly anywhere in my house, the wireless  signal suddenly died  on me last week.  "
signal began dropping,"began, dropping, had","other, several, blue",signal,router,NEGATIVE,"Then the other day, when the  signal began dropping  several times a day, out of the blue Id had enough.  "
signal strength could never,were,close,signal,router,POSITIVE,The  signal strength could never  beyond 60 even the antennas were as close as 3 INCHES to the PC card.  
signal strength was the poorest,"was, ve, used","poorest, wireless",signal,router,NEGATIVE,Cons: The  signal strength was the poorest  of any wireless router Ive ever used.  
I lost signal,lost,front,signal,router,NEGATIVE,"Just 10 feet out my front door (about 30 feet from the router with 2 walls),  I lost signal .  "
started to drop the signal,"got, working, started, drop, causing, have",first,signal,router,NEGATIVE,"The first one I got working for a bout 2 weeks, then it  started to drop the signal , causing me to have to power cycle the unit.  "
could never pick up a signal,"drove, worked, started, got, pick",little,signal,router,NEGATIVE,When we got out on the interstate we  could never pick up a signal .  
wrong signal,"loses, s, dies, is, recognize, goes","wrong, sensitive",signal,router,NEGATIVE,"It loses connection with satellite, theres delays in directions,  wrong signal , no warning before battery dies, touchscreen is not sensitive enough to recognize input, and the list goes on and on.  "
cannot get a signal,get,least,signal,router,NEGATIVE,I  cannot get a signal  in my office.  
signal started failing,"started, failing, come, turning","wireless, full, short",signal,router,NEGATIVE,"Then the wireless  signal started failing , and would only come back to full strength for a short while after turning the router off and back on.  "
get poor signal,"leave, get",poor,signal,router,NEGATIVE,When I leave the room with my laptop I immediately  get poor signal  strength.  
doesnt show signal strength,"does, show, does, mean, printed","major, good, b, good",signal,router,NEGATIVE,Poor administration and setup tools Range extender  doesnt show signal strength  to AccessPoint (major design flaw) A good connection bw computer and range extender doesnt mean a good connection to your AccessPointnetwork No printed documentation for setup when security (i.  
low signal strenght,is,"biggest, low, available",signal,router,NEGATIVE,My biggest problem with the unit is the  low signal strenght  available from the unit.  
signal bar drops,"drops, step, is, getting, is","outside, open",signal,router,NEGATIVE,"Unfortunately, my  signal bar drops  to one bar even I just step outside and there is no chance of getting a wifi connection in my shop even if the door is open.  "
kept dropping my WiFi signal,"bought, kept, dropping",WiFi,signal,router,NEGATIVE,"After 30 days (past the return policy of the store I bought it at), the router  kept dropping my WiFi signal .  "
drops the signal,"drops, is, get, have, restart",whole,signal,router,NEGATIVE,"So now every time it  drops the signal  (which is almost every time I get on my computer), I have to restart the whole system from the computer to the router.  "
get signal only,"bought, get, signal, was",close,signal,router,NEGATIVE,I bought this router and I would  get signal only  about 25 of the time no matter how close I was to the base.  
crowding my signal,"had, do, told, were, crowding, live",other,signal,router,NEGATIVE,Their customer service people had no idea what to do and told me other peoples router were  crowding my signal  (I live in New York City).  
signal is a little weak,"works, think, is","great, little, weak",signal,router,NEGATIVE,"This router  works great, I think  signal is a little weak .  "
signal gets very weak,"have, gets, gets","strong, weak, weak",signal,router,NEGATIVE,"But  signal gets very weak  on my sons laptop upstairs, it gets so weak that it flags ""time out connection"".  "
stopped transmitting any wireless signal,"expired, stopped, transmitting",wireless,signal,router,NEGATIVE,"Then, about three weeks after the warranty expired, it  stopped transmitting any wireless signal .  "
does find satellite signal,"does, find, reroutes, has, assist, is, has","great, wide",signal,router,POSITIVE,"however it  does find satellite signal  quickly, reroutes quickly, has lane assist which is great and has a very wide screen.  "
signal was weak,was,"4GHz, weak",signal,router,NEGATIVE,4GHz and  signal was weak .  
signal is weak,"does, work, is",weak,signal,router,NEGATIVE,It does work within my house but  signal is weak  beyond 25.  
signal disappears often,"working, needs, depending, disappears",frequent,signal,router,NEGATIVE,"Even where working, the device needs frequent rebooting and repositioning (depending on the day), as the  signal disappears often .  "
losing a signal often,"is, confused, is, losing","particular, next, available, past, few",signal,router,NEGATIVE,"The Garmin is often confused about where it is,  losing a signal often   one day fine in a particular next day, no satellite available over the past few months of use.  "
randomly drop the signal,"noticed, drop, called",tech,signal,router,NEGATIVE,"Two weeks ago I noticed that the router would  randomly drop the signal  on both channels, so I called tech support.  "
signal occasionally dropped,"had, dropped, owned, was","old, weaker, first",signal,router,NEGATIVE,The  signal occasionally dropped  since the first day I owned it(especially if the microwave oven was on two rooms away?  
not keeping a signal,"had, keeping",more,signal,router,NEGATIVE,From day one I had issues with the router  not keeping a signal  up for more than 15 minutes.  
cause interference with the signal,"cause, cause, disconnect, wired, require","4Ghz, wireless, wireless, hard",signal,router,NEGATIVE,"4Ghz wireless phones will not just  cause interference with the signal , but will cause the router to crash, disconnect both wired and wireless ports and require a ""hard"" power off reboot.  "
frequently loses satellite signal,"loses, traveling",inner,signal,router,NEGATIVE,"Secondly, it  frequently loses satellite signal  when traveling in inner city highway areas.  "
signal is getting weaker,"is, getting","new, weaker",signal,router,NEGATIVE,"After a month or two, the  signal is getting weaker  every day.  "
completely unreliable signal,"attempting, get, resulted, missing","reliable, unreliable, strong",signal,router,NEGATIVE,Hours of manually attempting to get reliable communication between the router and the WRE54G resulted in a  completely unreliable signal .  
signal drops in half,"expected, drops, set","good, high",signal,router,NEGATIVE,"what I expected), and then the  signal drops in half  for good (despite radio power mode set to high).  "
signal keeps dropping,"keeps, dropping",many,signal,router,NEGATIVE,"Like many out there, my Wireless G  signal keeps dropping .  "
